#freq(GHz)  lamb(cm)    S(mJy)  ErrS(mJy)
5.999001    5.0 1.76    0.18
6.223963    4.8 1.48    0.15
8.449517    3.5 2.45    0.25
9.999001    3.0 2.16    0.22
21.99900    1.4 2.62    0.27
32.94901    0.9 2.61    0.26
43.99902    0.7 4.0     0.4
